,schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail,home_win,home_loss,home_tie,away_win,away_loss,away_tie,score_bin
0,-1.6303926827945945,-1.6635365155601063,-1.5071248610834982,-0.20856994139747329,-1.659389337675942,1.2279997989689084,0.695860907128259,-1.6502090274435177,-1.7266304072206156,-0.31240936081602916,0.5683373562796343,-1.4704155270333503,-0.10738641279195232,0.7443139721673271,-0.9805777793075624,-0.8656260966180329,-1.1055533686534902,-1.2013579645204928,-1.3003007098209691,-0.14375986306529223,-1.2465969640640555,-1.2910131857016853,-0.15275062329363545,0
1,-1.6303926827945945,-1.6635365155601063,-1.5071248610834982,-0.20856994139747329,-1.5542383199658605,-0.7024673247161145,-0.7860479772271382,-1.545218624898558,-1.6199043488561442,1.2855278136972894,-0.724162788299033,-1.4114636888721432,-0.10738641279195232,0.6610599427351133,0.28475233150871726,1.5132500074061843,0.17294666038558137,-1.2013579645204928,-1.3003007098209691,-0.14375986306529223,-1.2465969640640555,-1.2910131857016853,-0.15275062329363545,0
2,-1.6303926827945945,-1.6635365155601063,-1.5071248610834982,-0.20856994139747329,-1.449087302255779,-1.571177530374375,0.5970669815045658,-1.4402282223535985,-1.513178290491673,-1.4745454877348063,-1.0224320524325716,-1.3525118507109364,-0.10738641279195232,0.8691950163156479,0.4655137759110429,1.6292927441878535,0.17294666038558137,-1.2013579645204928,-1.3003007098209691,-0.14375986306529223,-1.2465969640640555,-1.2910131857016853,-0.15275062329363545,1
3,-1.6303926827945945,-1.6635365155601063,-1.5071248610834982,-0.20856994139747329,-1.3439362845456975,-0.8955140370846169,1.9801819402362697,-1.3352378198086388,-1.406452232127202,-0.16714234495118202,-0.823585876343546,-1.2935600125497295,-0.10738641279195232,1.7017353106377866,0.28475233150871726,0.06271579763532015,0.17294666038558137,-1.2013579645204928,-1.3003007098209691,-0.14375986306529223,-1.2465969640640555,-1.2910131857016853,-0.15275062329363545,1
4,-1.6303926827945945,-1.6635365155601063,-1.5071248610834982,-0.20856994139747329,-1.238785266835616,-0.7024673247161145,-0.09449049786128616,-1.2302474172636793,-1.2997261737627306,0.849726766102748,0.07122191605706993,-1.2346081743885227,-0.10738641279195232,0.6194329280190063,1.3693209979226713,1.6583034283832707,0.17294666038558137,-1.2013579645204928,-1.3003007098209691,-0.14375986306529223,-1.2465969640640555,-1.2910131857016853,-0.15275062329363545,1
5,-1.6303926827945945,-1.6635365155601063,-1.5071248610834982,-0.20856994139747329,-1.1336342491255345,-0.8955140370846169,0.5970669815045658,-1.1252570147187198,-1.1930001153982595,0.5591927343730537,0.07122191605706993,-1.1756563362273156,-0.10738641279195232,1.3270921781928242,0.6462752203133686,0.6139187973482485,0.17294666038558137,-1.2013579645204928,-1.3003007098209691,-0.14375986306529223,-1.2465969640640555,-1.2910131857016853,-0.15275062329363545,1
6,-1.6303926827945945,-1.6635365155601063,-1.5071248610834982,-0.20856994139747329,-1.0284832314154528,-0.026803831426356527,-2.070369010335149,-1.02026661217376,-1.0862740570337883,0.9949937819675951,-1.519547492655136,-1.1167044980661087,-0.10738641279195232,1.2438381487606103,0.6462752203133686,1.2811645338428461,0.17294666038558137,-1.2013579645204928,-1.3003007098209691,-0.14375986306529223,-1.2465969640640555,-1.2910131857016853,-0.15275062329363545,0
7,-1.6303926827945945,-1.6635365155601063,-1.5071248610834982,-0.20856994139747329,-0.9233322137053714,0.6488596618634015,0.5970669815045658,-0.9152762096288004,-0.9795479986693171,0.2686587026433594,0.5683373562796343,-1.0577526599049019,-0.10738641279195232,0.7443139721673271,-0.9805777793075624,-0.8656260966180329,-1.1055533686534902,-1.2013579645204928,-1.3003007098209691,-0.14375986306529223,-1.2465969640640555,-1.2910131857016853,-0.15275062329363545,0
8,-1.6303926827945945,-1.6635365155601063,-1.5071248610834982,-0.20856994139747329,-0.8181811959952898,-0.7024673247161145,0.004303427762406976,-0.8102858070838408,-0.8728219403048458,0.7044597502379009,-1.519547492655136,-0.9988008217436949,-0.10738641279195232,0.3696708397223647,0.4655137759110429,1.8903889019466087,0.17294666038558137,-1.2013579645204928,-1.3003007098209691,-0.14375986306529223,-1.2465969640640555,-1.2910131857016853,-0.15275062329363545,1
9,-1.6303926827945945,-1.6635365155601063,-1.5071248610834982,-0.20856994139747329,-0.7130301782852083,-1.2816074618216213,-0.687254051603445,-0.7052954045388812,-0.7660958819403746,1.5760618454269837,-0.6247397002545202,-0.939848983582488,-0.10738641279195232,0.7443139721673271,-0.9805777793075624,-0.8656260966180329,-1.1055533686534902,-1.2013579645204928,-1.3003007098209691,-0.14375986306529223,-1.2465969640640555,-1.2910131857016853,-0.15275062329363545,1
10,-1.6303926827945945,-1.6635365155601063,-1.5071248610834982,-0.20856994139747329,-0.6078791605751268,-0.21985054379485883,-0.48966620035605873,-0.6003050019939217,-0.6593698235759035,-0.31240936081602916,-0.724162788299033,-0.8808971454212811,-0.10738641279195232,0.9940760604639687,0.28475233150871726,1.571271375797019,0.17294666038558137,-1.2013579645204928,-1.3003007098209691,-0.14375986306529223,-1.2465969640640555,-1.2910131857016853,-0.15275062329363545,0
